TeamId,TeamName,SubmissionDate,Score
97125,"Mania Yang","2014-05-29 03:39:08",4.76188
97148,Francis,"2014-05-29 07:26:46",0.62413
97154,"Deep Learner (Rahul Mohan)","2014-05-29 07:56:23",4.76188
97154,"Deep Learner (Rahul Mohan)","2014-05-29 08:43:26",1.84122
97154,"Deep Learner (Rahul Mohan)","2014-05-29 08:46:51",1.84099
97225,"Stephen Helms","2014-05-29 16:19:59",0.55705
97229,"Bill Szaroletta, P.E.","2014-05-29 16:46:57",4.76188
97229,"Bill Szaroletta, P.E.","2014-05-29 17:46:49",1.97663
97229,"Bill Szaroletta, P.E.","2014-05-29 18:15:35",1.43239
97154,"Deep Learner (Rahul Mohan)","2014-05-29 18:19:01",1.73590
97229,"Bill Szaroletta, P.E.","2014-05-29 19:38:37",1.32348
97302,"akhil kumar","2014-05-30 05:55:42",1.33210
97314,razgon,"2014-05-30 06:55:43",0.55609
97308,"Vivek Aditya","2014-05-30 07:05:22",1.29564
97314,razgon,"2014-05-30 07:05:30",0.55239
97148,Francis,"2014-05-30 09:58:30",0.62197
97225,"Stephen Helms","2014-05-30 11:11:11",0.53531
97314,razgon,"2014-05-30 11:21:49",0.45255
97308,"Vivek Aditya","2014-05-30 12:55:04",0.75507
97306,Hong,"2014-05-30 17:38:10",0.66761
97376,squ!d,"2014-05-30 18:44:08",1.42463
97306,Hong,"2014-05-31 00:12:02",0.50965
97425,"Chris Hammond","2014-05-31 03:24:48",0.53221
97445,"Blue Ocean","2014-05-31 09:04:08",1.34421
97408,hedgehog,"2014-05-31 09:53:22",0.51198
97408,hedgehog,"2014-05-31 10:01:48",0.49821
97445,"Blue Ocean","2014-05-31 10:09:25",1.33163
97408,hedgehog,"2014-05-31 12:57:41",0.48623
97376,squ!d,"2014-05-31 13:13:15",1.31665
97408,hedgehog,"2014-05-31 13:51:37",0.47964
97477,levibecker,"2014-05-31 14:25:45",4.76188
97477,levibecker,"2014-05-31 15:42:43",0.60077
97408,hedgehog,"2014-05-31 16:32:53",0.46232
97314,razgon,"2014-05-31 18:49:22",0.45103
97425,"Chris Hammond","2014-05-31 20:17:39",0.48866
97482,"Daia Alexandru","2014-05-31 20:19:34",1.35632
97306,Hong,"2014-05-31 20:26:06",0.50900
97445,"Blue Ocean","2014-06-01 03:27:26",0.57728
97556,"Jason Karpeles","2014-06-01 04:05:15",0.64803
97556,"Jason Karpeles","2014-06-01 04:36:59",0.54726
97445,"Blue Ocean","2014-06-01 05:06:08",0.48693
97445,"Blue Ocean","2014-06-01 05:48:51",0.47836
97445,"Blue Ocean","2014-06-01 06:17:39",0.47714
97372,hassiktir,"2014-06-01 06:45:50",0.74165
97372,hassiktir,"2014-06-01 06:47:57",0.73522
98529,oncemore,"2014-06-01 10:46:46",0.59314
97314,razgon,"2014-06-01 11:54:43",0.43282
98546,Migros_Swiss,"2014-06-01 14:10:45",4.76188
98546,Migros_Swiss,"2014-06-01 14:20:45",0.69852
98529,oncemore,"2014-06-01 14:21:38",0.51870
98529,oncemore,"2014-06-01 14:38:14",0.49069
97302,"akhil kumar","2014-06-01 14:47:06",1.23802
98529,oncemore,"2014-06-01 14:55:42",0.49057
97398,orangerv,"2014-06-01 15:18:19",1.43615
98565,piotrek,"2014-06-01 17:53:10",1.30436
97508,Saurabh,"2014-06-01 18:04:42",0.74941
98565,piotrek,"2014-06-01 18:21:26",1.29919
97477,levibecker,"2014-06-01 19:15:46",0.53788
98565,piotrek,"2014-06-01 19:23:58",0.65126
97314,razgon,"2014-06-01 19:44:42",0.41253
97477,levibecker,"2014-06-01 19:47:38",0.53512
97508,Saurabh,"2014-06-01 19:56:39",0.72274
97508,Saurabh,"2014-06-01 20:05:07",0.58241
97477,levibecker,"2014-06-01 21:45:26",0.52652
97398,orangerv,"2014-06-02 01:38:37",1.43260
97398,orangerv,"2014-06-02 03:08:45",1.08446
97398,orangerv,"2014-06-02 03:18:20",1.06742
97372,hassiktir,"2014-06-02 04:39:29",0.73444
97372,hassiktir,"2014-06-02 04:42:52",0.71946
98529,oncemore,"2014-06-02 04:49:33",0.48930
97372,hassiktir,"2014-06-02 04:50:20",0.69937
97302,"akhil kumar","2014-06-02 05:01:18",0.66672
98628,"Vikram Jha","2014-06-02 05:07:39",4.76188
98529,oncemore,"2014-06-02 05:11:14",0.45339
98565,piotrek,"2014-06-02 05:53:56",0.54550
98529,oncemore,"2014-06-02 05:57:59",0.44591
98637,Dawny,"2014-06-02 07:49:18",1.58555
98529,oncemore,"2014-06-02 08:33:05",0.43769
98663,krusty,"2014-06-02 09:34:39",0.71593
98637,Dawny,"2014-06-02 10:20:13",1.32409
97314,razgon,"2014-06-02 11:18:14",0.40889
97314,razgon,"2014-06-02 11:21:11",0.39889
98673,"Michel Blaauw","2014-06-02 11:41:41",0.57786
98565,piotrek,"2014-06-02 12:10:57",0.53106
98546,Migros_Swiss,"2014-06-02 12:30:20",0.54462
98546,Migros_Swiss,"2014-06-02 12:40:59",0.53099
98663,krusty,"2014-06-02 13:12:48",0.47538
98731,espanarey,"2014-06-02 17:54:47",1.03139
98731,espanarey,"2014-06-02 19:38:16",0.84362
97508,Saurabh,"2014-06-02 19:56:57",0.58117
97477,levibecker,"2014-06-02 20:14:01",0.52335
98731,espanarey,"2014-06-02 20:24:45",0.75112
98742,"James Gearheart","2014-06-02 20:25:04",1.11362
98673,"Michel Blaauw","2014-06-02 20:35:28",0.52958
98750,Alliance,"2014-06-02 21:05:50",1.39741
98752,"Carter Wang","2014-06-02 21:10:59",1.76138
97508,Saurabh,"2014-06-02 21:12:24",0.54336
98750,Alliance,"2014-06-02 21:31:25",1.12583
97508,Saurabh,"2014-06-02 22:15:13",0.54174
97508,Saurabh,"2014-06-02 22:37:32",0.49008
98773,dlsiii,"2014-06-03 00:06:07",1.09312
98774,ViennaMike,"2014-06-03 00:28:40",2.01273
98774,ViennaMike,"2014-06-03 00:44:45",1.58455
98774,ViennaMike,"2014-06-03 01:14:03",1.48064
98773,dlsiii,"2014-06-03 02:05:17",1.08708
98752,"Carter Wang","2014-06-03 02:21:52",1.43825
98752,"Carter Wang","2014-06-03 02:33:47",1.26771
97398,orangerv,"2014-06-03 02:46:23",0.75965
98773,dlsiii,"2014-06-03 03:17:38",0.56333
98789,"Scott LaForest","2014-06-03 03:32:31",0.82791
97398,orangerv,"2014-06-03 04:10:50",0.74311
97398,orangerv,"2014-06-03 04:23:01",0.73048
98637,Dawny,"2014-06-03 05:00:42",1.31358
98637,Dawny,"2014-06-03 05:39:51",1.28990
98546,Migros_Swiss,"2014-06-03 08:49:47",0.51432
97308,"Vivek Aditya","2014-06-03 09:18:39",0.70208
98833,"Kelly Chan","2014-06-03 09:21:03",0.50543
97308,"Vivek Aditya","2014-06-03 09:22:04",0.69459
97308,"Vivek Aditya","2014-06-03 09:24:45",0.68574
98833,"Kelly Chan","2014-06-03 09:29:34",0.49911
98834,purella,"2014-06-03 09:30:02",0.82809
98834,purella,"2014-06-03 09:31:38",0.68142
98833,"Kelly Chan","2014-06-03 09:32:05",0.48090
98637,Dawny,"2014-06-03 10:25:16",1.28929
97425,"Chris Hammond","2014-06-03 10:50:34",0.48145
97482,"Daia Alexandru","2014-06-03 12:04:53",1.33321
97229,"Bill Szaroletta, P.E.","2014-06-03 14:15:45",0.82107
98880,fronori,"2014-06-03 14:57:40",1.30713
98880,fronori,"2014-06-03 15:27:53",1.30647
98742,"James Gearheart","2014-06-03 16:09:11",0.66427
98742,"James Gearheart","2014-06-03 16:13:40",0.65623
97425,"Chris Hammond","2014-06-03 16:19:52",0.43323
97425,"Chris Hammond","2014-06-03 16:21:11",0.43253
98731,espanarey,"2014-06-03 17:00:06",0.68434
97101,KMZ,"2014-06-03 18:21:39",1.49928
97229,"Bill Szaroletta, P.E.","2014-06-03 19:32:43",0.60969
98742,"James Gearheart","2014-06-03 19:37:26",0.61224
98930,RasmusEngholm,"2014-06-03 21:53:57",1.14909
98946,VeloWizard,"2014-06-03 22:58:25",0.43135
98773,dlsiii,"2014-06-03 23:04:44",0.53887
98833,"Kelly Chan","2014-06-04 02:06:28",0.47327
98833,"Kelly Chan","2014-06-04 02:09:54",0.47283
98789,"Scott LaForest","2014-06-04 02:22:36",0.82791
98774,ViennaMike,"2014-06-04 02:24:48",1.22963
98774,ViennaMike,"2014-06-04 02:46:57",0.85331
97148,Francis,"2014-06-04 03:57:12",0.52446
98529,oncemore,"2014-06-04 05:20:09",0.42113
97302,"akhil kumar","2014-06-04 06:17:32",0.58737
98946,VeloWizard,"2014-06-04 07:24:53",0.43064
97314,razgon,"2014-06-04 08:40:44",0.39822
97314,razgon,"2014-06-04 08:43:06",0.39767
99009,Novice,"2014-06-04 10:05:57",1.27654
99009,Novice,"2014-06-04 11:13:20",0.94431
99023,EC,"2014-06-04 11:19:24",0.47227
99009,Novice,"2014-06-04 11:36:25",0.93186
99023,EC,"2014-06-04 11:47:00",0.46996
99009,Novice,"2014-06-04 12:03:34",0.91293
97314,razgon,"2014-06-04 12:10:44",0.39506
98930,RasmusEngholm,"2014-06-04 13:20:22",1.13369
98930,RasmusEngholm,"2014-06-04 13:30:09",0.91353
98742,"James Gearheart","2014-06-04 14:41:28",0.58856
97398,orangerv,"2014-06-04 15:41:20",0.70044
98937,"Ford Bohrmann","2014-06-04 16:40:42",1.44731
99023,EC,"2014-06-04 16:47:45",0.41129
98937,"Ford Bohrmann","2014-06-04 17:12:38",1.37294
97445,"Blue Ocean","2014-06-04 17:27:23",0.43233
